Category,CategroyDescription,Parameter,ParameterDescription,Type
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",кол-во дней с открытия последнего активного счета,"период с даты открытия последнего счета с признаком ""базовый"" (не равно периоду жизни в точке, т.к. клиент может открывать несколько счетов в течение жизни)",integer
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",есть расчетный накопительный счет,"в витрине счетов есть хотя бы 1 счет в рамках юл с условиями: is_payment_acc=1 and type_name in ('копилка для налогов', 'сейф счета')",boolean
продукт: точка обороты,точка обороты,текущий статус,Текущий статус продукта точка обороты у клиента,string
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,оквэд: текущий подсегмент перевозок,текущий подсегмент перевозок по основному оквэд. null - основной оквэд не относится к перевозкам,string
комплаенс и блокировки,"статус блокировок (фнс, внутренние), актуальность документов, риски зск",есть блокировка фнс,"на открытом счёте клиента есть актуальные блокировки с типами 23, 51 или лимиты с типами 22, 23.",boolean
продукт: точка обороты,точка обороты,плановая дата окончания договора,"плановая дата окончания договора для клиентов, у которых есть действующее подключение продукта точка обороты, иначе null",date
продукт: точка обороты,точка обороты,общий срок использования,как долго у клиента были действующие подключения продукта точка обороты за всю жизнь,integer
продукт: точка обороты,точка обороты,дата последнего подключения,дата последнего подключения продукта точка обороты. null - никогда не было подключения,date
продукт: точка обороты,точка обороты,есть активность,"true - клиент считается активным в продукте, были операции по точка оборотам за последний месяц, false - клиент не активен в продукте или не подключены точка обороты",boolean
продукт онлайн-бухгалтерия,"платная онлайн-бухгалтерия для клиентов на всех тарифах. включает в себя расчёт налогов и взносов, подготовку декларации, выпуск кэп, загрузку выписки 1с и мультибанк, копилку, сверку, эдо с госорганами, заявления на патент, совмещения расчетов с патентом",период подключения об,оплаченный период продукта об: месяц (month) или год (year),string
продукт онлайн-бухгалтерия,"платная онлайн-бухгалтерия для клиентов на всех тарифах. включает в себя расчёт налогов и взносов, подготовку декларации, выпуск кэп, загрузку выписки 1с и мультибанк, копилку, сверку, эдо с госорганами, заявления на патент, совмещения расчетов с патентом",статус подключения об,текущий статус продукта в рамках периода и клиента: подключен (connected) или отключен (disconnected),string
